nr_convenio;id_proposta
952703;1922300
832573;1067180
814466;867729
920785;1712823
740476;206161
843391;1190413
778860;634230
710548;85033
782684;678483
792675;779717
871507;1332906
919044;1696939
803741;863653
946913;1927907
731797;162014
889408;1425539
818541;987315
884611;1430331
867938;1326103
758860;483327
968630;2012708
836255;1104436
908730;1611578
706871;80576
965298;1966495
810874;859470
845235;1172623
701398;4898
849259;1235316
959839;1971182
742504;311062
971246;2002924
928578;1749461
979142;2125719
927392;1756654
962860;1993998
753902;339332
722760;142515
753144;306735
765484;475975
962859;1993912
878440;1384959
767199;533020
843067;1166323
928238;1749771
995767;2187896
745618;323036
759418;495702
846875;1161105
786732;743299
749441;313614
905039;1595507
729683;171048
731734;144330
876433;1378561
964317;1981953
991686;2164021
825970;1040691
841144;1127287
912091;1662703
823572;1035297
982670;2137573
774968;621178
919970;1699615
722256;149012
967136;1990709
703801;38684
729195;156232
984683;2127564
762904;483592
897445;1522802
897730;1530331
863453;1288849
747088;324119
728346;166351
845866;1163774
862739;1287292
908870;1615968
885794;1421468
849558;1226158
820937;987297
878709;1369751
944595;1852733
980062;2125924
794558;787634
737911;252900
766640;487117
926567;1749189
982180;2122402
746934;322041
859928;1287255
781673;583121
965806;2000551
752737;216864
837766;1102324
890471;1513817
716517;126035
947110;1911828
728429;144809
720628;131491
898233;1545081
956054;1969900
926847;1755108
700309;5317
731799;180343
991842;2165130
737808;190358
715384;123516
977622;2088276
930652;1748409
791537;787426
942519;1854538
744102;314157
831021;1067985
739188;286442
744746;307603
952606;1940668
969644;2006584
739659;316643
957379;1975905
787254;760769
811737;910588
908260;1613320
945523;1918034
746994;308713
723132;130561
911131;1655211
832993;1061758
743007;295328
848200;1170714
957321;1975844
743154;317809
830349;1063043
744533;309264
776186;616674
951768;1925593
824851;1031431
935891;1749756
878813;1369628
869430;1332498
981940;2127225
817207;989606
889882;1509538
857118;1167406
805617;861253
714365;93975
710098;110248
879904;1327169
792420;762957
778731;588783
941527;1856569
751404;288414
978357;2097332
838221;1111632
792747;753782
767345;501789
842447;1134520
925261;1735781
950713;1942899
750828;349531
946012;1855315
842647;1134924
911949;1656262
802186;847343
994394;2194151
834877;1070945
871540;1337317
722147;87024
877620;1374667
807568;859368
853622;1270542
723727;159599
889321;1424894
876568;1351562
734976;295721
798462;490280
890415;1420575
790915;773803
701093;6861
810240;895590
704105;38131
957395;1975922
786259;737859
966961;2007752
710355;83574
775867;622717
949378;1927557
984066;2130244
868789;1350538
806088;866425
921938;1711802
987586;2154403
982569;2132888
982629;2134816
984818;2117403
926126;1751973
919561;1662425
737367;255857
862068;1198180
867611;1331923
854874;1271635
957463;1976001
933234;1792213
754270;289870
994547;2141056
904130;1580896
958563;1965285
815266;853697
796353;791439
700530;3880
913928;1681150
893768;1474355
900177;1534356
992873;2168493
827368;1064900
863512;1288709
880454;1343107
982386;2118206
947845;1920882
804638;868640
719824;134843
758300;478587
987297;2112503
811033;897263
942210;1868967
705328;77473
914764;1667854
824178;1033707
833602;1070344
723855;83378
940259;1828729
756891;463001
